"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report I2D0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(I2D0000)", ,"Entity[565497] Report(I2D0000[00100])","Entity[565497] Report(I2D0000[00200])","Entity[565497] Report(I2D0000[00300])","Entity[565497] Report(I2D0000[00400])","Entity[565497] Report(I2D0000[00500])","Entity[565497] Report(I2D0000[00600])","Entity[565497] Report(I2D0000[00700])", ,"Entity[565497] Report(I2D0000[00900])","Entity[565497] Report(I2D0000[01000])","Entity[565497] Report(I2D0000[01100])"
"Line(00100)", ,"562300","36272","1246695","1117563","523606","-1554216","2038792", ,"3971012","3047361","7018373"
"Line(00200)", ,"396222","25559","798813","716092","335490","-995835","1306318", ,"2582659","1981936","4564595"
"Line(00300)", , , , , , ,"-1", , ,"-1","-1","-2"
"Line(00600)", ,"479","31","952","870","408","-1211","1590", ,"3119","2394","5513"
"Line(00700)", ,"287","19","635","565","267","-792","1038", ,"2019","1549","3568"
"Line(01000)", ,"13129","847","1667","1500","706","-2096","2751", ,"18504","14200","32704"
"Line(01100)", ,"106087","6843","285492","255905","119897","-355888","466840", ,"885176","679286","1564462"
"Line(01200)", ,"46096","2973","159136","142631","66838","-198393","260255", ,"479536","367997","847533"
"Line(01500)", , , , , , ,"1982480"
"Line(01700)", ,"562300","36272","1246695","1117563","523606","-1554216","2038792", ,"3971012","3047361","7018373"
