"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[572851] Report(B000001)","Entity[572851] Report(B000001[00000])","Entity[572851] Report(B000001[00100])","Entity[572851] Report(B000001[00200])", ,"Entity[572851] Report(B000001[00400])","Entity[572851] Report(B000001[00500])", ,"Entity[572851] Report(B000001[00700])","Entity[572851] Report(B000001[00800])","Entity[572851] Report(B000001[00900])","Entity[572851] Report(B000001[01000])","Entity[572851] Report(B000001[01100])", ,"Entity[572851] Report(B000001[01300])","Entity[572851] Report(B000001[01400])","Entity[572851] Report(B000001[01500])","Entity[572851] Report(B000001[01600])","Entity[572851] Report(B000001[01700])","Entity[572851] Report(B000001[01800])", ,"Entity[572851] Report(B000001[02000])","Entity[572851] Report(B000001[02100])","Entity[572851] Report(B000001[02200])","Entity[572851] Report(B000001[02300])","Entity[572851] Report(B000001[02400])","Entity[572851] Report(B000001[02500])","Entity[572851] Report(B000001[02600])"
"Line(10600)","1680172","14471","6416", ,"255103","371150", ,"17913", , , ,"11033", ,"37062", , ,"3938", , , , , , , ,"2397258", ,"2397258"
"Line(10700)","3971816", ,"16822", ,"515367","854563", , , , , ,"18703", ,"58222", , ,"8661", , , , , , , ,"5444154", ,"5444154"
"Line(10900)","279958", ,"2742", ,"40627","61346", , , , , , , , , , , , , , , , , , ,"384673", ,"384673"
"Line(11200)","675137", ,"4363", ,"66220","141488", , , , , , , , , , , , , , , , , , ,"887208", ,"887208"
"Line(11800)","1279040716","26377681","37141388", ,"155742026","198419255", ,"30674085","5890978","14836617","20644945","11283068", ,"28002078","14234078","32127263","12446253","13934170","421415", ,"4843043","20326873","33257875","915896","1237077374","-53912758","1183164616"
"Line(19000)","56208","7332","308", ,"3510","12780", ,"9076", ,"6094", ,"572", , ,"17", , , , , , , , , ,"95897", ,"95897"
"Line(19001)", ,"100611", , , ,"19089", ,"124540", ,"599256", , , , , , , , , , , , , , ,"843496", ,"843496"
"Line(19100)","37677267","1139715","5671143", ,"6888430","9747879", ,"1410786","5482","907526", ,"486797", ,"420371","106132","22878", , ,"413", , ,"97166","158979", ,"64740964","-256145","64484819"
"Line(19200)","5699903", ,"214148", ,"3583453","1801999", , , ,"40335", ,"160326", ,"189545","20975","130802","100845", , , , , , , ,"11942331", ,"11942331"
"Line(19201)","124718", ,"11709", ,"18102","29319", , , , , ,"1539", , ,"6", ,"917", , , , , , , ,"186310", ,"186310"
"Line(19401)","92832", ,"1000", ,"11108","19911", , , , ,"706513","22016", , , , , , , , , , , , ,"853380", ,"853380"
"Line(19402)","1345157", ,"11167", ,"461475","344898", , , , , ,"10815", ,"18860","479","12529","10204", , , , , , , ,"2215584", ,"2215584"
"Line(19403)","3791569","20067","73703", ,"925004","912686", ,"24840", ,"92581", ,"107128", ,"115720","1645","52","28662", , , , , , , ,"6093657", ,"6093657"
"Line(19404)","533971", , , ,"127409","125486", , , , , ,"807", , , , ,"7480", , , , ,"305187","499333", ,"1599673","-804520","795153"
"Line(19405)","569929", , , ,"191686","144504", , , , , ,"3709", , , , ,"3790", , , , , , , ,"913618", ,"913618"
"Line(19406)","123537", ,"20345", ,"26726","32370", , , , , ,"2313", , ,"331","104", , , , , , , , ,"205726", ,"205726"
"Line(19408)","2045116","78063","1470", ,"680131","532162", ,"96630", , , ,"15272", , , , , , , , , , , , ,"3448844", ,"3448844"
"Line(19409)","1322538","662","14714", ,"311474","312945", ,"819", ,"554", ,"8334", ,"11895","222","753","6370", , , , , , , ,"1991280", ,"1991280"
"Line(19410)","478445", , , ,"101987","110128", , , , , ,"2868", , , , ,"344", , , , , , , ,"693772", ,"693772"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report B000002 ","-------------","-------------","-----------",""
"","","","ASSIGNED","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[572851] Report(B000002)","Entity[572851] Report(B000002[00000])","Entity[572851] Report(B000002[00100])","Entity[572851] Report(B000002[00200])", ,"Entity[572851] Report(B000002[00400])","Entity[572851] Report(B000002[00500])", ,"Entity[572851] Report(B000002[00700])","Entity[572851] Report(B000002[00800])","Entity[572851] Report(B000002[00900])","Entity[572851] Report(B000002[01000])","Entity[572851] Report(B000002[01100])", ,"Entity[572851] Report(B000002[01300])","Entity[572851] Report(B000002[01400])","Entity[572851] Report(B000002[01500])","Entity[572851] Report(B000002[01600])","Entity[572851] Report(B000002[01700])","Entity[572851] Report(B000002[01800])", ,"Entity[572851] Report(B000002[02000])","Entity[572851] Report(B000002[02100])","Entity[572851] Report(B000002[02200])","Entity[572851] Report(B000002[02300])","Entity[572851] Report(B000002[02400])", ,"Entity[572851] Report(B000002[02600])"
"Line(00400)", , ,"79", ,"79"
"Line(00500)","23156766","1407147","3574989", , ,"28138902"
"Line(00700)","1513660","190224","159796", , ,"682733", ,"2546413"
"Line(00800)","68527","47770","650", , ,"123230", ,"4656","244833"
"Line(00900)","252149","567914","45134", , ,"333125", ,"55351", ,"1253673"
"Line(01000)","45246","1422418","182953", , ,"406223", ,"138634", ,"26477","2221951"
"Line(01100)", , , , , , , , , , ,"1259772","1259772"
"Line(01300)","41600","304534","5197661", , ,"589096", ,"29681", ,"26894", ,"12766", ,"6202232"
"Line(01400)","52797","260789","85702", , ,"289499", ,"25417","3290","12705", ,"7392", ,"2226","739817"
"Line(01500)","743973","425157","550011", , ,"658814", ,"41437", ,"16211", ,"31341", , ,"2373","2469317"
"Line(01600)","478900","274957","13040", , ,"252706", ,"26798", ,"9132", ,"18070", , ,"12", ,"1073615"
"Line(01700)","6643","158193","27653", , ,"283710", ,"15418", ,"3683", ,"22282", ,"7048","8","289", ,"524927"
"Line(01800)","132","32168","410", , ,"7576", ,"3135", ,"1239", ,"620", , ,"46", , , ,"45326"
"Line(02000)","133950", ,"51414", , ,"96613", , , ,"14243", ,"7019", ,"2329","14","56", , , , ,"305638"
"Line(02100)", , , , , ,"437606", , , , , , , , , , , , , , , ,"437606"
"Line(02200)","197723","231819","380808", , ,"695684", ,"22594","591","8765", ,"50785", ,"2076","88","22","3911", , , , , ,"1594866"
"Line(02300)","1", ,"810", , ,"16398", , , ,"4383", ,"8463", , ,"9","2", , , , , , , ,"30066"
"Line(02301)", , ,"882", , ,"21845", , , ,"4383", ,"8935"
"Line(02302)","9893", ,"2694", , ,"42332", , , ,"2191", ,"3309", , ,"4"
"Line(02303)","18472","45840","3800", , ,"13517", ,"4468", ,"3068", ,"2498"
"Line(02304)", , , , , ,"6841", , , ,"4383", ,"4328"
"Line(02305)", , ,"877", , ,"16007", , , ,"2191", ,"908", ,"3"
"Line(03000)","42095","5526878","846506", ,"79","2392210", ,"538667","57000","252195","492393","230418", ,"1900431","14799","18808","50764","373454","22454", , , , , ,"12759151", ,"12759151"
"Line(03100)","5891","535581","95786", , ,"240933", ,"52200","3515","23999","28914","20320", ,"188045","3620","2615","12081","3451","880", , , , , ,"1217831", ,"1217831"
"Line(03101)","5926","626269","469463", , ,"377160", ,"61039","2414","14462", ,"26839", ,"226356","3114","2167","14966","6444","1461", , , , , ,"1838080", ,"1838080"
"Line(03200)","1146","238875","124362", , ,"140361", ,"23282","2298","14505","16185","10327", ,"104728","1496","1525","5195","4199","352", , , , , ,"688836", ,"688836"
"Line(03201)","8","191574","19519", , ,"84082", ,"18672","1134","12271","8236","5740", ,"58021","849","1249","2879","312", , , , , , ,"404546", ,"404546"
"Line(03401)","3789","802269","98512", , ,"322332", ,"78192","2930","24542","25717","24108", ,"217943","3361","2578","10118","2058","649", , , , , ,"1619098", ,"1619098"
"Line(03402)","2521","463885","24728", , ,"238037", ,"45212","3598","24542","27258","16811", ,"164989","3687","3372","10510","2172","401", , , , , ,"1031723", ,"1031723"
"Line(03403)","956","249129","49796", , ,"144574", ,"24281","3130","6574","19796","11222", ,"109032","2132","685","3575","10134", , , , , , ,"635016", ,"635016"
"Line(03404)","6620","374328","229159", , ,"169748", ,"36483","2996","12271","13377","12342", ,"111607","1937","1960","5840","1892","488", , , , , ,"981048", ,"981048"
"Line(03405)", ,"53420","51430", , ,"15710", ,"5207","304","12271","1950","1144", ,"12471","24","5","341", ,"186", , , , , ,"154463", ,"154463"
"Line(03406)","2654","282675","44445", , ,"117047", ,"27551","3533","12271","19077","10540", ,"91596","1081","655","3283","27293","504", , , , , ,"644205", ,"644205"
"Line(03407)","971","280443","106592", , ,"147631", ,"27333","4941","12271","30366","12205", ,"108225","1008","70","5913","26825", , , , , , ,"764794", ,"764794"
"Line(04000)","19212","522074","11145", , ,"316075", ,"50883","5026","56914","99104","26280", ,"105541","333","13","9808", , , , , , , ,"1222408", ,"1222408"
"Line(04100)","1440","324932","6904", , ,"53613", ,"31669","2483", ,"9972","4566", ,"34944","301","129","1306", ,"653", , , , , ,"472912", ,"472912"
"Line(04300)", , , , , ,"102331", , ,"2695","13148", , , , , , ,"2526","12773","3748", , , , , ,"137221", ,"137221"
"Line(05000)","1645704","2288858","2933368", , ,"866323", ,"223081","17381","12903", ,"47454", ,"359252","21961","32","81359", ,"1575", , , , , ,"8499251", ,"8499251"
"Line(05001)","288", ,"372", , ,"54240", , , , , ,"3129", ,"20318","68","3798","239", , , , , , , ,"82452", ,"82452"
"Line(05100)","36710","724040","47552", , ,"259116", ,"70568","2482","18381","1205","16042", ,"178255","1160", ,"13079","1226","301", , , , , ,"1370117", ,"1370117"
"Line(05200)","41112","690026","282237", , ,"326064", ,"67253","34715","68806", ,"20971", ,"196073","2040", ,"12085", ,"364", , , , , ,"1741746", ,"1741746"
"Line(05300)","251470","26490","580885", , ,"402657", ,"2582", ,"1433", ,"24864", ,"32089","16232","17887","112228", , , , , , , ,"1468817", ,"1468817"
"Line(05400)","528247","1019616","2594331", , ,"485034", ,"99376","4213","21812", ,"28828", ,"52840","3480", ,"37279", ,"172", , , , , ,"4875228", ,"4875228"
"Line(05500)","741721","46722","1557347", , ,"169732", ,"4554","2819","3287", ,"3778", ,"11708","155","29700","13880", , , , , , , ,"2585403", ,"2585403"
"Line(05600)","72328","164726","302177", , ,"44162", ,"16055","1467","5676", ,"1451", ,"5","193", ,"3557", , , , , , , ,"611797", ,"611797"
"Line(05700)","278404","113208","171253", , ,"99510", ,"11034","1891","5702", ,"4047", ,"447","1679", ,"44247", , , , , , , ,"731422", ,"731422"
"Line(05800)","436599","170212","374740", , ,"96760", ,"16589","5455","3911", ,"2917", ,"1974","339", ,"16772", , , , , , , ,"1126268", ,"1126268"
"Line(05900)","290359","427858","1579312", , ,"311604", ,"41701","5114","13674", ,"10321", ,"45644","14777", ,"31597", , , , , , , ,"2771961", ,"2771961"
"Line(06000)","408088","698350","1057992", , ,"1781751", ,"68064", ,"20708", ,"50021", ,"133976","22055","1299","135841", ,"306", , , , , ,"4378451", ,"4378451"
"Line(06001)","11237", ,"55764", , ,"42127", , , ,"3068", ,"1707", , ,"243","79","1469", , , , , , , ,"115694", ,"115694"
"Line(06002)","20581","5182","44525", , ,"33608", ,"505", , , ,"1090", ,"1129","161", ,"2127", , , , , , , ,"108908", ,"108908"
"Line(06500)","91639","267294","621692", , ,"426158", ,"26052", ,"6174", ,"26230", ,"19918","6741","81","14350", ,"40", , , , , ,"1506369", ,"1506369"
"Line(06600)","5911","199155","171121", , ,"194350", ,"19410","99","4652", ,"11883", ,"15073","10","1","5669", ,"6", , , , , ,"627340", ,"627340"
"Line(06800)", ,"4879", , , ,"31904", ,"476", ,"1534", , , , , , ,"754", , , , , , , ,"39547", ,"39547"
"Line(06900)","177053","161363","305835", , ,"95849", ,"15727","505","9022", ,"6000", ,"15992","283","77","12961", , , , , , , ,"800667", ,"800667"
"Line(07100)","1547769","176110","900142", , ,"1281434", ,"17164", ,"5478", ,"3110", ,"69","218112","113","18178", ,"3251", , , , , ,"4170930", ,"4170930"
"Line(07200)", , , , , ,"1839326", , , , , , , , ,"347518", ,"64297", , , , , , , ,"2251141", ,"2251141"
"Line(07300)", , , , , ,"1373225", , , , , , , , , ,"1564866","69886", , , , , , , ,"3007977", ,"3007977"
"Line(07400)","66769","259907","172603", , ,"81751", ,"25332","589","13240", ,"4650", ,"49543","553","230","3310", ,"239", , , , , ,"678716", ,"678716"
"Line(07500)","421156","172665","258789", , ,"339421", ,"16829","4723","24235", ,"18321", ,"169005","6205","2","20377", ,"466", , , , , ,"1452194", ,"1452194"
"Line(07601)","48738", ,"12395", , ,"13225", , , , , ,"1019", , ,"3657", ,"28", , , , , , , ,"79062", ,"79062"
"Line(07602)", , , , , ,"75698", , , ,"2191", ,"226", ,"2716","6","1","2792", , , , , , , ,"83630", ,"83630"
"Line(07603)","1565311","414986","856864", , ,"299596", ,"40446","3690","12941", ,"12941", ,"101174","5831","1","12046", ,"82", , , , , ,"3325909", ,"3325909"
"Line(07697)","20303", ,"32984", , ,"19603", , , ,"8765", ,"1381", ,"5950","10", ,"363", ,"1346", , , , , ,"90705", ,"90705"
"Line(09000)","80410", ,"63316", , ,"58156", , , , , ,"5199", ,"18739","185", ,"1141", ,"84", , , , , ,"227230", ,"227230"
"Line(09001)","16272","276391","3365", , ,"112662", ,"26938","4704","26232","30978","10366", ,"34813","63", ,"3484", , , , , , , ,"546268", ,"546268"
"Line(09002)","216114","2894","133223", , ,"160252", ,"282", , , ,"12240", ,"38169","334", ,"3753", ,"129", , , , , ,"567390", ,"567390"
"Line(09003)","359935", ,"182389", , ,"502239", , ,"2632","12271", ,"33161", ,"157904","754","160","5587", ,"1124", , , , , ,"1258156", ,"1258156"
"Line(09004)","557391","459696","504584", , ,"676770", ,"44804","16011","12271", ,"52903", ,"144335","1189","1273","21133", , , , , , , ,"2492360", ,"2492360"
"Line(09005)","28227", ,"90719", , ,"40256", , ,"70","6574", ,"2347", ,"2418","393","99","439", ,"37", , , , , ,"171579", ,"171579"
"Line(09006)","9160", ,"3424", , ,"4180", , , ,"2191", ,"228", ,"3137","2", ,"17", , , , , , , ,"22339", ,"22339"
"Line(09007)","36556", ,"54511", , ,"93424", , , , , ,"9235", ,"35480","299", ,"2305", , , , , , , ,"231810", ,"231810"
"Line(09008)","17347", ,"9042", , ,"33002", , , , , ,"2465", ,"7878","70", ,"444", , , , , , , ,"70248", ,"70248"
"Line(09009)","133003","35200","548910", , ,"118581", ,"3431", , , ,"6464", ,"16802","107", ,"3855", ,"278", , , , , ,"866631", ,"866631"
"Line(09010)","10676", ,"2723", , ,"15284", , , , , ,"1086", ,"4965","108", ,"168", , , , , , , ,"35010", ,"35010"
"Line(09011)","4723", ,"12025", , ,"43217", , , ,"3725", ,"1062", , , , ,"681", ,"141", , , , , ,"65574", ,"65574"
"Line(09012)","560", ,"48", , ,"1891", , , , , ,"241", ,"740","2", ,"78", , , , , , , ,"3560", ,"3560"
"Line(09013)","29322", ,"138233", , ,"87226", , ,"75", , ,"6735", ,"18519","17", ,"5045", , , , , , , ,"285172", ,"285172"
"Line(09014)","7226","3997","39589", , ,"50001", ,"390", ,"10956", ,"3264", ,"10885","65", ,"2187", , , , , , , ,"128560", ,"128560"
"Line(09015)","106165", ,"51528", , ,"908003", , , , , ,"8804", ,"85535","723","792715","33759", ,"826", , , , , ,"1988058", ,"1988058"
"Line(09016)","55684", ,"78400", , ,"81703", , , , , ,"7300", ,"35481","270", ,"1587", ,"420", , , , , ,"260845", ,"260845"
"Line(09017)","23450", ,"32084", , ,"65475", , , ,"1534", ,"4747", ,"27099","157", ,"296", , , , , , , ,"154842", ,"154842"
"Line(09020)","1184","69849","6234", , ,"33444", ,"6808", , , ,"2462", ,"11883","13", ,"737", , , , , , , ,"132614", ,"132614"
"Line(09021)","60187","95677","101793", , ,"77115", ,"9325", ,"1728", ,"5144", ,"2647","446","17","5004", , , , , , , ,"359083", ,"359083"
"Line(09022)","36076", ,"44442", , ,"49553", , , , , ,"1755", ,"18506","423", ,"2912", , , , , , , ,"153667", ,"153667"
"Line(09023)","8003", ,"4662", , ,"3880", , , , , ,"180", , ,"25", ,"243", , , , , , , ,"16993", ,"16993"
"Line(09024)","5497", ,"2746", , ,"14116", , , , , ,"345", ,"2744","62", ,"523", , , , , , , ,"26033", ,"26033"
"Line(09025)","27968", ,"5120", , ,"24808", , , , , ,"1513", ,"8688", , ,"87", , , , , , , ,"68184", ,"68184"
"Line(09100)","177684","738788","396663", , ,"519971", ,"72005","26009","139783","59961","32959", ,"196641","8055","827","50413","33134","1202", , , , , ,"2454095", ,"2454095"
"Line(09101)","8119","141489","14220", , ,"94620", ,"13790", , , ,"9370", ,"36561","186","8","2464", , , , , , , ,"320827", ,"320827"
"Line(09102)","1696","228345","108918", , ,"121113", ,"22255","5317", , ,"7656", ,"63441","1959", ,"8976","10882","1117", , , , , ,"581675", ,"581675"
"Line(09103)","1140","59567","22415", , ,"25812", ,"5806", ,"3767", ,"1608", ,"13150","198", ,"2658", , , , , , , ,"136121", ,"136121"
"Line(09201)","358","265117","207644", , ,"112169", ,"25839","2766","2166","4166","8216", ,"79876","762", ,"4451","8678", , , , , , ,"722208", ,"722208"
"Line(09202)","4295","58492","1999", , ,"46476", ,"5701", , , ,"4145", ,"27296","62", ,"2275", , , , , , , ,"150741", ,"150741"
"Line(09500)","7894869","54799","6850535", , ,"826215", ,"5341", ,"2191", ,"23520", ,"22912","1234","2038","16931", , , , , , , ,"15700585", ,"15700585"
"Line(10500)","143810", ,"23551", , ,"195960", , , ,"3287", ,"10407", ,"30551","1203","5034","1609", , , , , , , ,"415412", ,"415412"
"Line(10600)","711","14471","6416", , ,"49131", ,"1410", , , ,"1148", ,"7993", , ,"336", , , , , , , ,"81616", ,"81616"
"Line(10700)","3090", ,"16822", , ,"113123", , , , , ,"1946", ,"12556", , ,"738", , , , , , , ,"148275", ,"148275"
"Line(10900)", , ,"2742", , ,"8121", , , , , , , , , , , , , , , , , , ,"10863", ,"10863"
"Line(11200)", , ,"4363", , ,"18730", , , , , , , , , , , , , , , , , , ,"23093", ,"23093"
"Line(11800)","45588066","26377681","37141388", ,"79","26266306", ,"2415183","244605","1128453","2148427","1174180", ,"6039105","733131","2456538","1060102","524927","45282", , , , , ,"104030751", ,"104030751"
"Line(19000)","4833","7332","308", , ,"1692", ,"715", ,"464", ,"60", , ,"1", , , , , , , , , ,"15405", ,"15405"
"Line(19001)", ,"100611", , , ,"2527", ,"9806", ,"45579", , , , , , , , , , , , , , ,"158523", ,"158523"
"Line(19100)","534190","1139715","5671143", , ,"1290374", ,"111081","228","69025", ,"50659", ,"90660","5467","1749", , ,"44", , , , , ,"8964335", ,"8964335"
"Line(19200)","244141", ,"214148", , ,"238539", , , ,"3068", ,"16684", ,"40878","1080","10002","8592", , , , , , , ,"777132", ,"777132"
"Line(19201)","13091", ,"11709", , ,"3881", , , , , ,"160", , , , ,"78", , , , , , , ,"28919", ,"28919"
"Line(19401)","2047", ,"1000", , ,"2636", , , , ,"73524","2291", , , , , , , , , , , , ,"81498", ,"81498"
"Line(19402)","9369", ,"11167", , ,"45656", , , , , ,"1125", ,"4067","25","958","869", , , , , , , ,"73236", ,"73236"
"Line(19403)","56931","20067","73703", , ,"120817", ,"1956", ,"7042", ,"11148", ,"24957","85","4","2442", , , , , , , ,"319152", ,"319152"
"Line(19404)","142", , , , ,"16611", , , , , ,"84", , , , ,"637", , , , , , , ,"17474", ,"17474"
"Line(19405)","240", , , , ,"19129", , , , , ,"386", , , , ,"323", , , , , , , ,"20078", ,"20078"
"Line(19406)","15225", ,"20345", , ,"4285", , , , , ,"241", , ,"17","8", , , , , , , , ,"40121", ,"40121"
"Line(19408)","13245","78063","1470", , ,"70445", ,"7608", , , ,"1589", , , , , , , , , , , , ,"172420", ,"172420"
"Line(19409)","9772","662","14714", , ,"41426", ,"64", ,"42", ,"867", ,"2565","11","58","543", , , , , , , ,"70724", ,"70724"
"Line(19410)","236", , , , ,"14578", , , , , ,"298", , , , ,"29", , , , , , , ,"15141", ,"15141"
"Line(20000)", , , , , , , , , , , , , , , , , , , , ,"305638","437606","1594866","30066","2591845", ,"2591845"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report B10000* ","-------------","-------------","-----------",""
"","","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","","(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE","","","COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME","","","COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED","","STEPDOWN",""
"","","","","FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)","","","","LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)","","","","(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","","1","2","4","5A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[572851] Report(B10000*)", ,"Entity[572851] Report(B10000*[00100])","Entity[572851] Report(B10000*[00200])", ,"Entity[572851] Report(B10000*[00400])","Entity[572851] Report(B10000*[00500])", ,"Entity[572851] Report(B10000*[00700])","Entity[572851] Report(B10000*[00800])","Entity[572851] Report(B10000*[00900])","Entity[572851] Report(B10000*[01000])","Entity[572851] Report(B10000*[01100])", ,"Entity[572851] Report(B10000*[01300])","Entity[572851] Report(B10000*[01400])","Entity[572851] Report(B10000*[01500])","Entity[572851] Report(B10000*[01600])","Entity[572851] Report(B10000*[01700])","Entity[572851] Report(B10000*[01800])","Entity[572851] Report(B10000*[01900])","Entity[572851] Report(B10000*[02000])","Entity[572851] Report(B10000*[02100])","Entity[572851] Report(B10000*[02200])","Entity[572851] Report(B10000*[02300])"
"Line(00100)", ,"CAP","CAP", ,"EMPLOYEE","ADMINIS-", ,"OPERATION","LAUNDRY","HOUSE-","DIETARY","CAFETERIA", ,"NURSING","CENTRAL","PHARMACY","MEDICAL","SOCIAL","OTHER","NONPHYSIC.","NURSING","I&R","I&R","PARAMED"
"Line(00200)", ,"BLDGS &","MOVABLE", ,"BENEFITS","TRATIVE &", ,"OF PLANT","& LINEN","KEEPING", , , ,"ADMINIS-","SERVICES &", ,"RECORDS &","SERVICE","GENERAL","ANESTHET.","SCHOOL","SALARY &","PROGRAM","EDUCATION"
"Line(00300)", ,"FIXTURES","EQUIPMENT", ,"DEPARTMENT","GENERAL", , ,"SERVICE", , , , ,"TRATION","SUPPLY", ,"LIBRARY", ,"SERVICE", , ,"FRINGES","COSTS"
"Line(00400)", ,"SQUARE","DOLLAR", ,"GROSS","ACCUM.", ,"SQUARE","POUNDS OF","HOURS OF","MEALS","MEALS", ,"DIRECT","COSTED","COSTED","GROSS REVE","TIME","TIME","ASSIGNED","ASSIGNED","ASSIGNED","ASSIGNED","ASSIGNED"
"Line(00500)", ,"FEET","VALUE", ,"SALARIES","COST", ,"FEET","LAUNDRY","SERVICE","SERVED","SERVED", ,"NRSING HRS","REQUIS.","REQUIS.","NUE","SPENT","SPENT","TIME","TIME","TIME","TIME","TIME"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report B100000 ","-------------","-------------","-----------",""
"","","","","BLDGS. &","MOVABLE","EMPLOYEE","","TRATIVE &","TENANCE &","OPERATION","","","","& LINEN","HOUSE-","","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","","OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL","","RESIDENT ",""
"","","","","FIXTURES","EQUIPMENT","BENEFITS","","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION","","COST & POST",""
